色分類,L*,a*,b*
黄色,94.82,-6.72,27.95
黄色,95.29,-10.44,36.89
黄色,91.17,-3.91,23.26
緑,80.33,-8.14,30.12
黄色,94.32,-2.12,15.44
緑,58.68,-30.49,26.17
緑,51.92,-12.02,28.36
緑,44.53,-16.45,14.1
緑,54.69,-34.73,16.36
緑,46.28,-41.86,8.23
緑,43.21,-19.39,0.56
緑,35.08,-8.41,4.18
緑,82.71,-12.87,28.7
緑,74.29,-7.12,21
緑,75.35,-28.35,23.66
緑,74.01,-17.86,11.65
緑,61.24,-12.06,9.18
緑,51.52,-36.3,5.92
緑,70.65,-38.68,5.53
緑,93.29,-14.25,32.96
緑,85.93,-6.45,25.2
緑,90.98,-7.42,24.44
緑,83.01,-10.49,16.09
緑,92.18,-2.84,12.33
青,87.51,-15.76,10.46
青,84.17,-11.72,3.29
青,54.09,-36.7,-11.01
青,62.33,-31.11,-24.22
青,55.58,-22.58,-30.27
青,47.62,-21.43,-15.46
青,38.86,-4.37,-29.94
青,53.05,-13.77,-28.62
青,44.45,-11.34,-25.76
青,73.01,-31.6,0.02
青,60.14,-12.61,-4.05
青,70.8,-29.69,-18.75
青,78.98,-25.58,-11.05
青,74.1,-16.64,-11.79
青,70.95,-11.82,-15.93
青,62.22,-10.51,-29.93
青,90.46,-16.73,2.83
青,73.66,-15.61,0.8
青,74.71,-14.09,-6.59
青,81.43,-7.1,-1.17
青,80.73,-6.33,-3.91
青,71.28,-6.42,-7.75
青,69.26,-6.54,-16.44
青,86.92,-13.25,2.97
青,90.1,-9.99,-5.1
青,89.67,-2.89,4.08
青,86.55,-0.4,0.46
青,42.23,-2.28,-24.57
青,34.01,-2.89,-16.59
青,46.9,3.88,-28.47
青,31.71,3.91,-11.89
紫,45.43,23.4,-20.9
紫,40.72,31,-15.18
紫,33.97,11.86,-5.25
青,49,-3.45,-26.09
青,59.87,-3.85,-12.29
青,51.51,3.13,-32.85
紫,57.71,0.88,-10.89
紫,61.92,22.66,-21.81
紫,47.12,7.95,-8.84
紫,66.46,16.76,-3.57
紫,80.14,-1.07,-2.06
紫,69.75,1.91,-16.28
紫,71.26,1.88,-7.43
紫,74.41,6.02,-4.86
紫,71.07,9.95,-11.01
紫,85.62,8.88,-6.69
ピンク,72.36,17.93,3.01
グレー,80.22,1.75,-2.08
紫,86.95,-0.18,-8.57
紫,88.6,1.46,1.98
紫,85.27,3.5,0.68
黒,27.37,0.13,-0.37
グレー,38.56,0.97,3.46
グレー,48.05,0.54,1.76
グレー,54.29,0.99,0.92
グレー,66.22,1.31,2
グレー,69.04,-0.73,4.5
グレー,77.97,0.33,4.49
グレー,38.19,-0.86,6.98
グレー,55.16,-1.29,7.6
グレー,58.98,0.16,12.03
グレー,72.19,-0.62,14.57
グレー,81.76,-2.17,9.01
グレー,80.55,-0.2,4.89
グレー,82.77,-3.87,5.58
グレー,52.11,2,7.96
グレー,57.25,3.72,9.31
グレー,68.45,3,9.53
グレー,87.38,-0.44,11.63
グレー,85.27,0.44,5.25
グレー,86.4,0.38,-0.72
白,93.26,2.12,-10.76
黄色,93.58,-2.17,15.91
黄色,93.78,-0.97,16.33
白,93.19,-0.18,10.92
白,94.72,-0.85,9.51
白,89.83,-0.06,8.05
白,96.72,0.58,-2.98
白,97.83,1.94,-9.91
黒,32.59,3.53,2.71
茶,41.2,10.37,14.22
茶,55.87,17.03,23.11
茶,60.55,20.55,26.81
茶,63.95,23.28,28.18
茶,73.5,15.32,21.47
茶,77.17,9.55,18.96
茶,34.29,7.62,7.91
茶,45.3,6.83,7.66
茶,50.2,10.73,19.94
茶,65.39,14.21,19.99
茶,64.76,16.22,27.49
茶,65.18,11.11,22.23
オレンジ,76,9.49,31.21
グレー,69.32,5.97,10.06
グレー,83.85,1.55,11.46
グレー,84.57,1.3,14.2
オレンジ,82.78,7.1,17.39
オレンジ,79.03,8.55,23.66
黄色,81.54,5.13,28.85
ナチュラル,91.5,0.12,8.2
茶,84.55,0.86,14.33
グレー,75.77,-0.23,5.72
黒,25.94,-0.43,-0.52
茶,56.31,7.45,33.4
茶,43.12,12.82,17.77
茶,32.48,7.44,10
茶,26.95,3.63,3.85
オレンジ,57.67,42.94,45.99
赤,46.84,29.75,19.9
赤,35.45,31.67,16.98
茶,31.68,11.22,7.43
茶,32.8,6.15,3.28
青,26.18,1.78,-5.14
青,29.64,-0.76,-9.48
青,39.13,2.31,-25.96
緑,33.96,-10.17,5.81
緑,39.21,-2.54,12.9
紫,95.44,5.08,-17.23
高白色,96.2,1.65,-1.6
白,95.32,0.46,9.58
オレンジ,93.07,2.61,17.24
茶,81.98,2.51,21.61
茶,61.71,7.72,21.4
高白色,96.13,3.35,-15.03
グレー,81.39,-1.47,2.98
グレー,79.51,-0.68,8.75
グレー,65.74,-2.13,3.53
グレー,44.6,-0.89,3.56
黒,25.6,2.05,-1.52
ピンク,92.36,4.48,1.05
茶,86.36,2.61,7.32
グレー,78.87,2.71,4.77
グレー,69.7,1.06,4.48
グレー,52.69,0.67,0.57
黒,29.02,1.78,1.27
グレー,91.11,1.42,-2.07
青,88.33,-2.9,-8.34
紫,67.36,0.76,-12.63
